ascore,category,description,ein,tot_exp,fund_eff,fscore,NAME,tot_rev,score,state,size,CITY,ZIP,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT
85.0,International,"Founded in 1897, the Zionist Organization of America (“ZOA”) is the oldest pro-Israel organization in the United States. With offices around the country and in Israel, the ZOA is dedicated to educating the public, elected officials, media, and college/high school students about the truth of the ongoing and relentless Arab war against Israel. ZOA is also committed to promoting strong U.S.-Israel relations. ZOA works to protect Jewish college and high school students from intimidation, harassment and discrimination, and in fighting anti-Semitism in general.",13-5628475,7117973.0,0.08,95.27,ZIONIST ORGANIZATION OF AMERICA,5640512.0,88.87,NY,mid,NEW YORK,10016-4333,1,High,6.189530862445105e-07,6405246.0,4846894.0
100.0,Community Development,"The Island Institute works to sustain Maine's island and remote coastal communities, and exchanges ideas and experiences to further the sustainability of communities here and elsewhere.",22-2786731,5392897.0,0.13,70.15,ISLAND INSTITUTE,11844385.0,78.89,ME,mid,ROCKLAND,04841-3345,1,High,6.103315707635716e-07,6540395.0,4915361.0
84.0,Human and Civil Rights,"Since incorporating in 2000, and with support from foundations, law firms, lawyers, and government programs, ISLP has sent hundreds of experienced lawyers to work, pro bono, with clients in more than 50 countries and has delivered more than $110 million worth of pro bono legal assistance through both on-site projects and remote analysis and advice. ISLP is now widely recognized for the high quality law-related assistance and capacity building it offers to select clients – including civil society organizations, least-developed country governments, and other institutions – with scarce resources and little or no access to experienced lawyers to help them meet important rule of law and development needs.",52-2241212,1291304.0,0.11,81.72,INTERNATIONAL SENIOR LAWYERS CORPORATION,1074993.0,82.82,NY,small,NEW YORK,10014-3326,1,High,2.623402675695836e-06,1303881.0,1143553.0
85.0,International,"Opened in 1924, International House is a vibrant community of more than 700 graduate students and trainees who represent more than 100 countries each year. The mission of International House is to enable its members from around the world to live and learn together in a diverse residential community that builds life-long qualities of leadership, respect and friendship. This mission is achieved by daily interaction among its residents through programs, facilities and residential life designed to foster diversity of thought and experience. Through leadership training, cultural celebrations, informal social activities and exposure to distinguished leaders, International House promotes knowledge and appreciation of diversity and enhances the capacity of its members to effectively communicate and collaborate across cultures.",13-1624048,16690286.0,0.22,93.42,INTERNATIONAL HOUSE,18764860.0,88.41,NY,big,NEW YORK,10027-3916,1,High,1.683633199630409e-07,19851528.0,17818608.0
93.0,Religion,"International Christian Ministries was launched in 1986 to meet the growing need for discipleship in Kenya. The focus of the ministry has always been the training, equipping and discipling of leaders to serve the church and fulfill the Great Commission. Over the years the model evolved to include two main avenues for developing Christian leaders: the Christian Leadership Institute (CLI) and Africa Theological Seminary (ATS). Both of these programs focus on providing quality training with aim of discipling participants. Currently ICM is registered in 12 countries and works in over 20 countries.",62-1465626,939719.0,0.07,72.88,INTERNATIONAL CHRISTIAN MINISTRIES,917560.0,80.19,CA,small,SEEKONK,02771-3217,1,Low,1.0,0.0,0.0
97.0,"Arts, Culture, Humanities","Founded in 1974, the International Center of Photography (ICP) is a museum and school dedicated to the understanding and appreciation of photography. ICP creates programs of the highest quality to advance knowledge of the medium. These include exhibitions, collections, and education for the general public, members, students, and professionals in the field of photography. The permanent collection at ICP contains over 100,000 photographs, spanning the history of the photographic medium, from daguerreotypes to gelatin silver and digital chromogenic prints. ICP School is one of the world's most extensive and best-equipped schools of photography, serving more than 5,000 students each year.",23-7412428,17276229.0,0.15,74.43,INTERNATIONAL CENTER OF PHOTOGRAPHY,10922478.0,81.79,NY,big,NEW YORK,10036-7703,1,High,2.204304330370553e-07,22233544.0,13609736.0
66.0,Research and Public Policy,"First Things is published by the Institute on Religion and Public Life, an interreligious, nonpartisan research and educational 501(c)(3) organization. The Institute was founded in 1990 by Richard John Neuhaus and his colleagues to confront the ideology of secularism, which insists that the public square must be “naked,” and that faith has no place in shaping the public conversation or in shaping public policy. The Institute's mission is to articulate a governing consensus that supports a religiously pluralistic society capable of cooperating to defend human dignity from conception to natural death, a democratically, constitutionally ordered form of government supported by a religiously and morally serious culture, economic freedom that encourages a culture of personal and communal responsibility, and genuine patriotism and loyalty to the Western tradition that provide a basis for responsible global citizenship.",52-1628303,2861837.0,0.12,75.82,INSTITUTE ON RELIGION AND PUBLIC LIFE,2543353.0,70.49,NY,small,NEW YORK,10010-6212,1,High,1.0372443322376576e-06,2892279.0,2892279.0
100.0,Environment,"Founded in 1985, the Institute for Transportation and Development Policy (ITDP) works in cities around the world to bring about transportation solutions that are environmentally sustainable and socially equitable. ITDP primarily focuses on work in the following program areas: public transport, cycling & walking, traffic reduction, sustainable urban development, and climate & transport policy. ITDP is at the forefront of efforts to reduce carbon emissions, protect the environment, enhance social equity, and improve the quality of urban life.",52-1399520,7664135.0,0.01,82.5,INSTITUTE FOR TRANSPORTATION AND DEVELOPMENT POLICY,6536765.0,87.62,NY,mid,NEW YORK,10003-1105,1,High,4.696324687608309e-07,6388497.0,6387974.0
66.0,Research and Public Policy,"The Institute for American Values, founded in 1987, is a private, nonpartisan organization that contributes intellectually to strengthening families and civil society in the U.S. and the world. The Institute seeks to bring fresh knowledge to bear on the challenges facing the American family and civil society. Through its Malta Forum, its Council on Family Law, and its academic and professional advisory committees, which bring together many of the nation's most distinguished scholars and analysts from across the human sciences and from across the political spectrum, the Institute seeks to bridge the gap between scholarship and policymaking, bringing new information and analyses to the attention of policy makers in government, opinion makers in the media, and decision makers in the private sector and in civil society.",13-3400377,626271.0,0.15,58.95,INSTITUTE FOR AMERICAN VALUES,559887.0,62.3,NY,small,NEW YORK,10170-0007,1,Medium,4.991277742145601e-06,400699.0,400699.0
96.0,Education,"iMentor builds mentoring relationships that empower students from low-income communities to graduate high school, succeed in college, and achieve their ambitions.",30-0105507,18667266.0,0.15,86.45,IMENTOR,14306642.0,90.0,NY,big,NEW YORK,10004-2971,1,High,2.696229323291377e-07,12124850.0,11126650.0
100.0,Education,"Junior Achievement of New York is the local affiliate of Junior Achievement USA, the nation's largest organization dedicated to giving young people the knowledge and skills they need to own their economic success, plan for their future, and make smart academic and economic choices. We recruit, train, and mobilize more than 7,200 corporate and community volunteers to provide relevant, hands-on experiences that give students knowledge and skills in financial literacy, work readiness, and entrepreneurship. Today, JA New York delivers more than 90,000 student experiences per year, free of cost, in 300 NYC, Long Island and Lower Hudson Valley public schools.",13-3031828,3521613.0,0.18,75.2,JUNIOR ACHIEVEMENT OF NEW YORK,3805901.0,82.46,NY,mid,NEW YORK,10170-0299,1,High,8.704990483994569e-07,3947154.0,3446299.0
93.0,Education,"Junior Achievement of New Jersey is dedicated to educating young people about business, economics and free enterprise. Through a dedicated volunteer network, Junior Achievement of New Jersey offers in-school and after-school programs for students in grades K-12. Our comprehensive curriculum, developed in partnership with educators, reinforces and supplements NJ's core curriculum standards from kindergarten through high school. JA programs focus on seven key content areas: business, citizenship, economics, entrepreneurship, ethics/character, financial literacy, and career development.",22-1774147,2390911.0,0.22,75.17,JUNIOR ACHIEVEMENT OF NEW JERSEY,2195154.0,81.75,NJ,small,PRINCETON,08540-5748,1,High,1.479417602603775e-06,2314658.0,2027825.0
92.0,Human Services,"The vision of the Joyful Heart Foundation is a world free of sexual assault, domestic violence and child abuse.",72-1519537,22447603.0,0.02,90.0,JOYFUL HEART FOUNDATION,23088617.0,90.94,NY,big,NEW YORK,10010-0000,1,High,1.299341632257213e-07,23682708.0,23088616.0
100.0,Religion,"Founded by Joni Eareckson Tada in 1979, Joni and Friends communicates the gospel and equips Christ-honoring churches worldwide to evangelize and disciple people affected by disabilities. We present the clear and concise Gospel of Jesus Christ to all people with disabilities and their families served through our programs. We train, disciple, and mentor people affected by disability to exercise their gifts of leadership and service in the church and their communities. We energize the church to move from lack of awareness to including disabled persons into the fabric of worship, fellowship, and outreach.",95-3402002,26837655.0,0.13,83.61,JONI AND FRIENDS,28032664.0,88.41,CA,big,LONDONDERRY,03053-7411,1,High,1.2030979290433696e-07,25038116.0,24935626.0
