ascore,category,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,leader_comp_p,program_exp,fund_exp,fscore,NAME,tot_rev,subcategory,score,size,EIN,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT,NTEE_CD,ASSET_AMT,ACCT_PD,PF_FILING_REQ_CD,FILING_REQ_CD,INCOME_CD,ASSET_CD,FOUNDATION,DEDUCTIBILITY,RULING,CLASSIFICATION
85.0,International,7117973.0,0.1639999999999999,0.08,0.063,0.772,0.0649,5495075.156,448432.299,95.27,ZIONIST ORGANIZATION OF AMERICA,5640512.0,"International Peace, Security, and Affairs",88.87,mid,135628475,1,High,6.19e-07,6405246.0,4846894,X30,7167802.0,12,0,1,7,7,15,1.0,201305.0,1200.0
100.0,Community Development,5392897.0,0.247,0.13,0.159,0.593,0.0289,3197987.921,857470.623,70.15,ISLAND INSTITUTE,11844385.0,Housing and Neighborhood Development,78.89,mid,222786731,1,High,6.1e-07,6540395.0,4915361,B82Z,23706416.0,6,0,1,7,8,15,1.0,198704.0,1200.0
84.0,Human and Civil Rights,1291304.0,0.07,0.11,0.105,0.823,,1062743.192,135586.91999999998,81.72,INTERNATIONAL SENIOR LAWYERS CORPORATION,1074993.0,Advocacy and Education,82.82,small,522241212,1,High,2.62e-06,1303881.0,1143553,Q30,1454351.0,12,0,1,6,6,15,1.0,200006.0,1000.0
85.0,International,16690286.0,0.148,0.22,0.0409999999999999,0.81,0.0187,13519131.66,684301.7259999999,93.42,INTERNATIONAL HOUSE,18764860.0,"International Peace, Security, and Affairs",88.41,big,131624048,1,High,1.68e-07,19851528.0,17818608,Q230,85402380.0,6,0,1,8,9,15,1.0,193803.0,1000.0
93.0,Religion,939719.0,0.152,0.07,0.07,0.7759999999999999,0.0272,729221.9439999999,65780.33,72.88,INTERNATIONAL CHRISTIAN MINISTRIES,917560.0,Religious Activities,80.19,small,223117204,1,Low,1.0,0.0,0,X99Z,25394.0,12,0,2,0,3,15,1.0,199503.0,1000.0
97.0,"Arts, Culture, Humanities",17276229.0,0.213,0.15,0.0819999999999999,0.7040000000000001,0.0233,12162465.216000002,1416650.778,74.43,INTERNATIONAL CENTER OF PHOTOGRAPHY,10922478.0,Museums,81.79,big,237412428,1,High,2.2e-07,22233544.0,13609736,A510,51244956.0,6,0,1,8,9,15,1.0,197411.0,2000.0
66.0,Research and Public Policy,2861837.0,0.223,0.12,0.071,0.7040000000000001,0.0755,2014733.248,203190.427,75.82,INSTITUTE ON RELIGION AND PUBLIC LIFE,2543353.0,Social and Public Policy Research,70.49,small,521628303,1,High,1.04e-06,2892279.0,2892279,,495289.0,12,0,1,6,4,15,1.0,199406.0,1000.0
100.0,Environment,7664135.0,0.107,0.01,0.01,0.882,0.0289999999999999,6759767.07,76641.35,82.5,INSTITUTE FOR TRANSPORTATION AND DEVELOPMENT POLICY,6536765.0,Environmental Protection and Conservation,87.62,mid,521399520,1,High,4.7e-07,6388497.0,6387974,W40F,4987873.0,12,0,1,7,6,15,1.0,198512.0,1200.0
66.0,Research and Public Policy,626271.0,0.155,0.15,0.118,0.726,0.2503,454672.746,73899.978,58.95,INSTITUTE FOR AMERICAN VALUES,559887.0,Social and Public Policy Research,62.3,small,133400377,1,Medium,4.99e-06,400699.0,400699,P40F,71808.0,2,0,1,4,3,15,1.0,198712.0,1000.0
96.0,Education,18667266.0,0.161,0.15,0.1119999999999999,0.726,0.0144,13552435.116,2090733.792,86.45,IMENTOR,14306642.0,Youth Education Programs and Services,90.0,big,300105507,1,High,2.7e-07,12124850.0,11126650,O50,26182568.0,6,0,1,8,8,15,1.0,200305.0,1200.0
100.0,Education,3521613.0,0.111,0.18,0.185,0.703,0.0670999999999999,2475693.939,651498.405,75.2,JUNIOR ACHIEVEMENT OF NEW YORK,3805901.0,Youth Education Programs and Services,82.46,mid,133031828,1,High,8.7e-07,3947154.0,3446299,Q320,2496900.0,6,0,1,6,6,15,1.0,199405.0,2000.0
93.0,Education,2390911.0,0.053,0.22,0.223,0.722,0.0809,1726237.742,533173.153,75.17,JUNIOR ACHIEVEMENT OF NEW JERSEY,2195154.0,Youth Education Programs and Services,81.75,small,221774147,1,High,1.48e-06,2314658.0,2027825,Q320,1220134.0,6,0,1,6,6,15,1.0,199405.0,2000.0
92.0,Human Services,22447603.0,0.019,0.02,0.0289999999999999,0.951,0.0144,21347670.453,650980.487,90.0,JOYFUL HEART FOUNDATION,23088617.0,Children's and Family Services,90.94,big,721519537,1,High,1.3e-07,23682708.0,23088616,P30,2552505.0,6,0,1,8,6,15,1.0,200210.0,1000.0
100.0,Religion,26837655.0,0.0819999999999999,0.13,0.123,0.7929999999999999,0.0093999999999999,21282260.415,3301031.5650000004,83.61,JONI AND FRIENDS,28032664.0,Religious Activities,88.41,big,953402002,1,High,1.2e-07,25038116.0,24935626,,24476668.0,12,0,1,8,8,15,1.0,198003.0,7000.0
100.0,Human Services,2665036.0,0.134,0.15,0.2,0.664,0.0637,1769583.904,533007.2000000001,77.53,THE JOE TORRE SAFE AT HOME FOUNDATION,2960740.0,Social Services,84.11,small,30442514,1,High,1.18e-06,3210284.0,2549931,P20,2970878.0,4,0,1,6,6,16,1.0,200209.0,1000.0
100.0,Community Development,1083412.0,0.103,0.1,0.074,0.8220000000000001,0.1339,890564.6640000001,80172.48800000001,90.23,JEWISH FEDERATION OF ROCKLAND COUNTY,951881.0,Jewish Federations,93.09,small,133268920,1,Medium,2.03e-06,1028720.0,987329,S21Z,1567802.0,6,0,1,6,6,15,1.0,198511.0,1000.0
96.0,Community Development,48649864.0,0.062,0.11,0.087,0.8490000000000001,0.0072,41303734.536000006,4232538.168,82.62,JEWISH FEDERATION OF GREATER METROWEST NJ,53262311.0,Jewish Federations,87.38,big,221487222,1,High,1.06e-07,30822950.0,28285466,T700,77965350.0,6,0,1,8,9,16,1.0,195506.0,1000.0
96.0,Community Development,5010647.0,0.038,0.07,0.071,0.889,0.0355,4454465.183,355755.937,89.4,JEWISH FEDERATION OF GREATER HARTFORD,5158883.0,Jewish Federations,91.98,mid,60655482,1,High,4.6e-07,6523677.0,6523677,T700,8693689.0,6,0,1,7,7,15,1.0,194909.0,1000.0
85.0,Community Development,966654.0,0.158,0.19,0.173,0.667,0.1137,644758.218,167231.14200000002,76.1,JEWISH FEDERATION OF ATLANTIC AND CAPE MAY COUNTIES,1164428.0,Jewish Federations,80.04,small,210632971,1,High,2.97e-06,1158835.0,1010007,T70,5446196.0,12,0,1,6,7,15,1.0,194112.0,1200.0
89.0,Research and Public Policy,3662470.0,0.236,0.11,0.11,0.652,0.0559999999999999,2387930.44,402871.7,62.53,JEWISH COUNCIL FOR PUBLIC AFFAIRS,3555374.0,Social and Public Policy Research,72.38,mid,131624104,1,High,7.36e-07,4254879.0,4073683,,1091887.0,12,0,1,6,6,15,1.0,195307.0,2000.0
96.0,Community Development,3504762.0,0.064,0.04,0.023,0.912,0.0,3196342.944,80609.526,94.61,JEWISH ALLIANCE OF GREATER RHODE ISLAND,4208545.0,Jewish Federations,95.25,mid,274127671,1,High,3.54e-07,8504756.0,8480098,P28,7894820.0,6,0,1,7,7,16,1.0,201202.0,2000.0
85.0,Religion,13851885.0,0.031,0.15,0.162,0.805,0.0159,11150767.425,2244005.37,78.99,JEWISH AGENCY FOR ISRAEL-NORTH AMERICAN COUNCIL,15245808.0,Religious Activities,81.74,big,230053483,1,High,1.97e-07,15245808.0,15245808,Q70,4777979.0,12,0,1,8,6,15,1.0,200307.0,2000.0
97.0,Human Services,2850793.0,0.146,0.16,0.035,0.8170000000000001,0.0894,2329097.881,99777.755,66.55,JEWELERS FOR CHILDREN,2844882.0,Social Services,76.25,small,133716474,1,High,8.19e-07,4387047.0,3663570,T20Z,3558115.0,9,0,1,6,6,16,1.0,199401.0,1000.0
100.0,Health,4630866.0,0.079,0.1,0.126,0.794,0.0533,3676907.604,583489.116,93.4,THE JED FOUNDATION,4767497.0,Treatment and Prevention Services,95.33,mid,134131139,1,High,7.02e-07,5465845.0,4272793,F40,5479187.0,12,0,1,7,7,16,1.0,200103.0,1000.0
85.0,Human and Civil Rights,2415606.0,0.146,0.17,0.103,0.7490000000000001,0.0,1809288.8940000003,248807.41800000003,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,Advocacy and Education,84.12,small,136163909,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,15,1.0,196404.0,1000.0
85.0,Human and Civil Rights,2415606.0,0.146,0.17,0.103,0.7490000000000001,0.0,1809288.8940000003,248807.41800000003,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,Advocacy and Education,84.12,small,226101748,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,15,1.0,196404.0,1000.0
85.0,Human and Civil Rights,2415606.0,0.146,0.17,0.103,0.7490000000000001,0.0,1809288.8940000003,248807.41800000003,83.3,JAPANESE AMERICAN CITIZENS LEAGUE,2440209.0,Advocacy and Education,84.12,small,943048010,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,15,1.0,196404.0,1000.0
59.0,Human Services,5312170.0,0.0969999999999999,0.25,0.321,0.581,0.0555,3086370.77,1705206.57,74.81,KOLEL CHIBAS JERUSALEM,8309295.0,Social Services,65.97,mid,135655181,1,High,6.94e-07,4507156.0,4320450,Q113,1042989.0,12,0,1,6,6,15,1.0,195003.0,1000.0
100.0,International,4326731.0,0.06,0.08,0.0819999999999999,0.856,0.045,3703681.736,354791.942,79.81,KEEP A CHILD ALIVE,2528864.0,Development and Relief Services,85.72,mid,731682844,1,High,6.4e-07,5537674.0,4688520,G12,2759803.0,12,0,1,7,6,15,1.0,200507.0,1200.0
